Station number;Departement;Town number;Town;Station name;Lat;Lon;Alt;Type;Dates
 001303001;1;303;PONCIN;APRR_A40_PK_136;46.099833;5.430833;397;5;20020101000000;;6;18
 001350001;1;350;SAINT-ETIENNE-DU-BOIS;SAINT ETIENNE DU BOIS;46.296;5.279667;243;4;19980701000000;;6;18
 001357001;1;357;SAINT-GERMAIN-DE-JOUX;APRR_A40_PK_109,175;46.168333;5.722667;538;5;20020101000000;;6;18
 001367002;1;367;SAINT-JULIEN-SUR-REYSSOUZE;SAINT JULIEN SUR REYSSOUZE;46.403;5.109833;189;4;19900201000000;;6;18
 001373001;1;373;SAINT-MARTIN-DU-FRENE;APRR_A40_PK_123;46.127667;5.567333;561;5;20000101000000;;6;18
 001373002;1;373;SAINT-MARTIN-DU-FRENE;APRR_A404_PK_7,14;46.127667;5.564333;575;5;20020101000000;;6;18
 001374002;1;374;SAINT-MARTIN-DU-MONT;SAINT MARTIN DU MONT;46.118333;5.318833;265;4;19970101000000;;6;18
 001384001;1;384;SAINT-RAMBERT-EN-BUGEY;SAINT RAMBERT EN BUGEY;45.931667;5.426667;285;4;19900401000000;;6;18
 001384003;1;384;SAINT-RAMBERT-EN-BUGEY;ST RAMBERT CG01;45.950333;5.461;296;2;20011201000000;;6;18
 001390001;1;390;SAINT-VULBAS;BUGEY;45.789167;5.2525;195;3;19870801000000;;6;18
 001391001;1;391;SALAVRE;SALAVRE;46.363833;5.346667;240;4;19560701000000;;6;18
 001407001;1;407;SEYSSEL;SEYSSEL;45.9555;5.829;260;4;19850901000000;;6;18
 001411600;1;411;SOUCLIN;;45.91;5.621667;1080;7;20030301000000;20040531000000;6;18
 001414001;1;414;SUTRIEU;SUTRIEU;45.916167;5.624667;878;2;20020901000000;;6;18
 001416001;1;416;TENAY;TENAY;45.923333;5.506667;390;4;19330701000000;20070131000000;6;18
 001441001;1;441;VIEU-D'IZENAVE;VIEU;46.091667;5.546667;615;4;19900101000000;;6;18
 001451001;1;451;VIRIAT;APRR_A39_PK_141,1;46.266333;5.241;236;5;20020101000000;;6;18
 001453001;1;453;VIRIEU-LE-PETIT;VIRIEU-LE-PETIT;45.9115;5.719167;600;4;19990101000000;;6;18
 003003001;3;3;AINAY-LE-CHATEAU;AINAY-LE-CHATE;46.705667;2.696;220;4;19330101000000;;6;18
 003005001;3;5;ARCHIGNAT;ARCHIGNAT;46.359333;2.433667;370;2;19691001000000;;6;18
 003006003;3;6;ARFEUILLES;ARFEUILLES;46.163667;3.7355;450;4;19890101000000;;6;18
 003009001;3;9;AUBIGNY;AUBIGNY;46.6735;3.1865;200;4;19860501000000;;6;18
 003022002;3;22;BELLENAVES;BELLENAVES-SPC;46.198333;3.085;338;5;20040801000000;;6;18
 003036002;3;36;BOURBON-L'ARCHAMBAULT;BOURBON SA;46.58;3.0495;270;2;19930501000000;;6;18
 003036003;3;36;BOURBON-L'ARCHAMBAULT;BOURBON-L'ARCH;46.57;3.093333;278;4;19910101000000;;6;18
 003043001;3;43;BROUT-VERNET;BROUT-VERNET;46.187167;3.267667;315;4;19510101000000;;6;18
 003046001;3;46;BUXIERES-LES-MINES;BUXIERES;46.4535;3.004833;375;4;19960801000000;;6;18
 003048006;3;48;CERILLY;CERILLY;46.6185;2.8085;306;4;20080701000000;;6;18
 003053003;3;53;CHANTELLE;CHANTELLE;46.2315;3.155333;310;4;19850701000000;;6;18
 003059001;3;59;CHAREIL-CINTRAT;CHAREIL-CINTRAT;46.275333;3.227167;280;2;19500501000000;;6;18
 003060001;3;60;CHARMEIL;VICHY-CHARMEIL;46.166667;3.398667;249;0;19410101000000;;6;18
 003061001;3;61;CHARMES;CHARMES;46.0635;3.233667;330;2;19950801000000;;6;18
 003066003;3;66;CHATEL-MONTAGNE;CHATEL-MONTAGNE;46.115667;3.683833;515;4;19950901000000;;6;18
 003073001;3;73;CHEMILLY;CHEMILLY;46.488167;3.316667;230;4;18950101000000;;6;18
 003074001;3;74;CHEVAGNES;CHEVAGNES;46.630833;3.5665;229;4;19460101000000;;6;18
 003083002;3;83;CONTIGNY;CONTIGNY;46.3535;3.292333;305;4;20020101000000;;6;18
 003084004;3;84;COSNE-D'ALLIER;COSNE D'ALLIER;46.462333;2.840333;245;4;19891001000000;;6;18
 003097001;3;97;DENEUILLE-LES-MINES;APRR_A71_PK_300,319;46.358833;2.7535;300;5;19990201000000;;6;18
 003100001;3;100;DIOU;DIOU;46.543333;3.705;220;4;18830101000000;;6;18
 003103001;3;103;LE DONJON;LE DONJON;46.353167;3.775833;325;4;19370101000000;;6;18
 003106002;3;106;DURDAT-LAREQUILLE;DURDAT-LAREQUILLE;46.251833;2.695833;500;4;19620501000000;;6;18
 003108001;3;108;ECHASSIERES;ECHASSIERES_SAPC;46.191167;2.957667;650;2;19661101000000;;6;18
 003114001;3;114;LA FERTE-HAUTERIVE;FERTE-HAUTERIVE;46.376833;3.331;225;2;19570101000000;;6;18
 003118003;3;118;GANNAT;APRR_A719_PK_2_A;46.104667;3.143333;487;5;20040101000000;;6;18
 003118004;3;118;GANNAT;APRR_A719_PK_2_B;46.108333;3.143333;472;5;20081022000000;;6;18
 003125001;3;125;LA GUILLERMIE;LA GUILLERMIE;45.980333;3.639667;754;4;19350101000000;;6;18
 003127001;3;127;HERISSON;HERISSON;46.501167;2.757333;248;4;19830101000000;;6;18
 003127005;3;127;HERISSON;HERISSON-SPC;46.51;2.711667;203;5;20040801000000;;6;18
 003130002;3;130;ISLE-ET-BARDAIS;ISLE-ET-BARDAIS;46.6635;2.730167;260;4;19530501000000;;6;18
 003132001;3;132;JALIGNY-SUR-BESBRE;JALIGNY;46.369333;3.591;285;4;19140401000000;;6;18
 003135001;3;135;LALIZOLLE;LALIZOLLE;46.176333;2.993333;618;4;19590401000000;;6;18
 003149002;3;149;LOUCHY-MONTFAND;LOUCHY-MONTFAND;46.303667;3.241833;280;4;19940820000000;;6;18
 003153001;3;153;LOUROUX-HODEMENT;APRR_A71_PK_288,52;46.451667;2.687667;332;5;20050101000000;;6;18
 003155001;3;155;LURCY-LEVIS;LURCY-LEVIS;46.730167;2.936;206;4;19661001000000;;6;18
 003155003;3;155;LURCY-LEVIS;LURCY-LEVIS SA;46.718333;2.947667;225;2;19910101000000;;6;18
 003156001;3;156;LUSIGNY;LUSIGNY;46.588833;3.484333;249;4;20010201000000;;6;18
 003158001;3;158;MAILLET;MAILLET;46.4935;2.691333;280;4;20110608000000;;6;18
 003159001;3;159;MALICORNE;MALICORNE;46.3005;2.776667;400;4;19530101000000;;6;18
 003161001;3;161;MARCILLAT-EN-COMBRAILLE;MARCILLAT-EN-COMBRAILLES;46.159667;2.636333;494;4;19350101000000;;6;18
 003162001;3;162;MARIGNY;MARIGNY;46.583167;3.196;240;4;19270901000000;;6;18
 003165001;3;165;LE MAYET-DE-MONTAGNE;MAYET-DE-MONTAG;46.076833;3.684;542;4;19701201000000;;6;18
 003165005;3;165;LE MAYET-DE-MONTAGNE;LE MAYET-DE-MONTAGNE-SPC;46.073333;3.658333;540;5;20040801000000;;6;18
 003167001;3;167;MAZIRAT;MAZIRAT;46.241;2.535667;308;3;19580101000000;;6;18
 003168001;3;168;MEAULNE;MEAULNE;46.610833;2.610167;218;4;19930101000000;;6;18
 003180001;3;180;MONTBEUGNY;MONTBEUGNY;46.536333;3.423167;270;2;19840101000000;;6;18
 003185006;3;185;MONTLUCON;MONTLUCON;46.365;2.596333;207;2;19870401000000;;6;18
 003185007;3;185;MONTLUCON;MONTLUCON AERO;46.351;2.573;231;2;20020401000000;;6;18
 003185008;3;185;MONTLUCON;MONTLUCON-SPC;46.351667;2.598333;208;5;20040801000000;;6;18
 003186001;3;186;MONTMARAULT;MONTMARAULT;46.314833;2.9525;466;2;19380101000000;;6;18
 003186003;3;186;MONTMARAULT;MONTMARAULT-SPC;46.315;2.953333;475;5;20040801000000;;6;18
 003187001;3;187;MONTOLDRE;MONTOLDRE;46.3275;3.449667;280;4;19470101000000;;6;18
 003190003;3;190;MOULINS;MOULINS-SPC;46.567333;3.3345;214;5;20040801000000;;6;18
 003204001;3;204;PARAY-SOUS-BRIAILLES;PARAY-SOUS-BRIAILLES;46.2835;3.338667;250;4;19370501000000;;6;18
 003226001;3;226;SAINT-DIDIER-EN-DONJON;SAINT DIDIER;46.365333;3.850167;293;2;19970301000000;;6;18
 003236001;3;236;SAINT-GERMAIN-DES-FOSSES;SAINT-GERMAIN-DES-FOSSES;46.1905;3.435833;286;4;19090101000000;;6;18
 003240001;3;240;SAINT-LEON;ST-LEON;46.402667;3.686667;378;4;19621001000000;;6;18
